user_id,shelf,isbn,title,author,num_pages,publication_year,publisher,my_rating,average_rating,ratings_count,links
40732498,read,1933550171,Defending The Undefendable,Walter Block,257.0,2008-01-01,Ludwig von Mises Institute,4.0,3.96,3.96,www.goodreads.com/book/show/4068211-defending-the-undefendable
40732498,read,0446575062,The Defining Decade: Why Your Twenties Matter - And How to Make the Most of Them Now,Meg Jay,241.0,2012-01-01,Twelve,5.0,4.14,4.14,www.goodreads.com/book/show/13523061-the-defining-decade
40732498,read,6074299501,Los demasiados libros,Gabriel Zaid,152.0,2009-01-01,Random House Mondadori,3.0,3.7,3.7,www.goodreads.com/book/show/10856170-los-demasiados-libros
40732498,read,1514720485,Demian,Hermann Hesse,68.0,2015-01-01,Createspace,3.0,4.13,4.13,www.goodreads.com/book/show/27720700-demian
40732498,read,0738213136,The Depression Cure: The 6-Step Program to Beat Depression without Drugs,Stephen S. Ilardi,304.0,2009-01-01,Da Capo Lifelong Books,5.0,4.11,4.11,www.goodreads.com/book/show/6446928-the-depression-cure
40732498,read,132212924X,Descartes,Bernard Williams,329.0,2014-01-01,Taylor and Francis,4.0,3.85,3.85,www.goodreads.com/book/show/23284403-descartes
40732498,read,8433966634,Los detectives salvajes,Roberto Bolaño,624.0,2004-01-01,,5.0,4.13,4.13,www.goodreads.com/book/show/63034.Los_detectives_salvajes
40732498,read,0429634838,Dialogues on Ethical Vegetarianism,Michael Huemer,118.0,2019-01-01,Routledge,5.0,4.3,4.3,www.goodreads.com/book/show/42524339-dialogues-on-ethical-vegetarianism
40732498,read,1592409660,"Doing Good Better: How Effective Altruism Can Help You Help Others, Do Work that Matters, and Make Smarter Choices about Giving Back",William MacAskill,272.0,2016-01-01,Avery,5.0,4.24,4.24,www.goodreads.com/book/show/28110152-doing-good-better
40732498,read,0340839937,"Dune (Dune Chronicles, #1)",Frank Herbert,604.0,2006-01-01,Hodder & Stoughton,5.0,4.23,4.23,www.goodreads.com/book/show/234225.Dune
40732498,read,0441172695,Dune Messiah (Dune #2),Frank Herbert,331.0,1987-01-01,Ace Books,3.0,3.88,3.88,www.goodreads.com/book/show/106.Dune_Messiah
40732498,read,1576754227,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,128.0,2007-01-01,Berrett-Koehler Publishers,3.0,3.88,3.88,www.goodreads.com/book/show/95887.Eat_That_Frog_
40732498,read,0199643261,Education: A Very Short Introduction,Gary Thomas,129.0,2013-01-01,"Oxford University Press, USA",3.0,3.87,3.87,www.goodreads.com/book/show/16685181-education
40732498,read,9706906584,El dia que Nietzsche lloro/ The Day that Nietzsche Cry,Irvin D. Yalom,,,,3.0,4.33,4.33,www.goodreads.com/book/show/40785156-el-dia-que-nietzsche-lloro-the-day-that-nietzsche-cry
40732498,read,9870400906,El pez en el agua,Mario Vargas Llosa,,,,4.0,3.98,3.98,www.goodreads.com/book/show/94349.El_pez_en_el_agua
40732498,read,,The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,408.0,2017-01-01,Oxford University Press,1.0,4.05,4.05,www.goodreads.com/book/show/28820444-the-elephant-in-the-brain
40732498,read,9504928366,Encuentros,Gabriel Rolón,288.0,2012-01-01,Planeta,1.0,3.96,3.96,www.goodreads.com/book/show/14741456-encuentros
40732498,read,0812550706,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,324.0,2004-01-01,Macmillan Audio,4.0,4.3,4.3,www.goodreads.com/book/show/375802.Ender_s_Game
40732498,read,843396755X,La era del vacío,Gilles Lipovetsky,222.0,,,2.0,3.92,3.92,www.goodreads.com/book/show/75556.La_era_del_vac_o
40732498,read,950030404X,Espantapájaros,Oliverio Girondo,65.0,1997-01-01,,3.0,4.3,4.3,www.goodreads.com/book/show/1468694.Espantap_jaros
40732498,read,,Espejo retrovisor,Juan Villoro,,,,3.0,3.71,3.71,www.goodreads.com/book/show/19368884-espejo-retrovisor
40732498,read,8433966731,Estrella distante,Roberto Bolaño,160.0,2000-01-01,Anagrama,2.0,3.91,3.91,www.goodreads.com/book/show/59232.Estrella_distante
40732498,read,0691172471,Ethics in the Real World: 82 Brief Essays on Things That Matter,Peter Singer,376.0,2016-01-01,Princeton University Press,2.0,3.94,3.94,www.goodreads.com/book/show/29452545-ethics-in-the-real-world
40732498,read,9683905129,El Extranjero,Albert Camus,143.0,1996-01-01,Alianza Emecé,2.0,3.99,3.99,www.goodreads.com/book/show/17904866-el-extranjero
40732498,read,8433920057,Factotum,Charles Bukowski,192.0,2016-01-01,Anagrama,3.0,3.94,3.94,www.goodreads.com/book/show/38495.Factotum
40732498,read,8401440890,Fahrenheit 451,Ray Bradbury,186.0,1977-01-01,Plaza & Janés,2.0,3.99,3.99,www.goodreads.com/book/show/13360194-fahrenheit-451
40732498,read,0190219203,"Famine, Affluence, and Morality",Peter Singer,120.0,2015-01-01,Oxford University Press,5.0,4.18,4.18,www.goodreads.com/book/show/26200871-famine-affluence-and-morality
